OBJECTID	NAME	TYPE	OSM_ID	COMMUNE	SECTION	E1000	N1000	GZD	GRID100K	MGRS
346	Molière	locality	614843315	PETIT-GOAVE	DES PALMES	25	27	18Q	YF	18Q YF 2527
369	Mombin Crochu	town	614923025	MOMBIN CROCHU	SANS SOUCI	86	44	19Q	AB	19Q AB 8644
1690	Mompin	hamlet	617880899	MIRAGOANE	DESSOURCES	9	19	18Q	YF	18Q YF 0919
102	Mon Repos	suburb	613526388	CARREFOUR	THOR	74	52	18Q	YF	18Q YF 7452
324	Monder	village	614703065	LA TORTUE	MARE ROUGE	32	19	18Q	YH	18Q YH 3219
153	Monestére	 	48528550	DELMAS	ST. MARTIN	83	54	18Q	YF	18Q YF 8354
640	Mononville	village	615922706	CROIX-DES-BOUQUES	ORANGERS	84	79	18Q	YF	18Q YF 8479
1788	Mont Organise	town	618032578	MONT ORGANISE	SAVANETTE	8	48	19Q	BB	19Q BB 0848
1390	Monta	hamlet	617533844	TIBURON	LOBY	71	27	18Q	WF	18Q WF 7127
1191	Montagnac	hamlet	617136966	DAME-MARIE	BALIVERNE	68	51	18Q	WF	18Q WF 6851
519	Montagne Noire	village	615780978	PETION-VILLE	ETANG DU JONC	86	47	18Q	YF	18Q YF 8647
669	Montagne Terrible	village	616390884	ARCAHAIE	DES DELICES	70	90	18Q	YF	18Q YF 7090
1487	Montasse	village	617820624	BOUCAN CARRE	BOUCAN CARRE	96	90	18Q	YF	18Q YF 9690
1732	Montclair	hamlet	617886067	AQUIN	BELLEVUE	77	28	18Q	XF	18Q XF 7728
430	Montrial Chapel	place_of_worship	616852039	LEOGANE	DESSSOURCES	49	48	18Q	YF	18Q YF 4948
1244	Morel	hamlet	617203126	LEOGANE	DESSSOURCES	51	45	18Q	YF	18Q YF 5145
444	Morel	village	615493804	LEOGANE	DESSSOURCES	50	45	18Q	YF	18Q YF 5045
139	Morette	suburb	613681162	PETION-VILLE	BELLEVUE CHARD	89	48	18Q	YF	18Q YF 8948
428	Morgue Paradise	place_of_worship	616852037	LEOGANE	DESSSOURCES	49	48	18Q	YF	18Q YF 4948
1151	Morisseau	hamlet	616814382	AQUIN	BRODEQUIN	67	24	18Q	XF	18Q XF 6724
633	Mormon Church	place_of_worship	617928645	CAP HAITIEN	HAUT DU CAP	92	87	18Q	YG	18Q YG 9287
319	Morn Monde	locality	614703035	LA TORTUE	LA TORTUE / POINTE D	35	16	18Q	YH	18Q YH 3516
322	Morn Monde	village	614703055	LA TORTUE	LA TORTUE / POINTE D	38	15	18Q	YH	18Q YH 3815
1596	Morne a Bruler	locality	617863702	CAYES-JACMEL	GAILLARD	77	20	18Q	YF	18Q YF 7720
106	Morne a Tuf	locality	613537311	PORT-AU-PRINCE	TURGEAU	80	51	18Q	YF	18Q YF 8051
246	Morne Aucade	locality	614602014	PETION-VILLE	AUX CADETS	95	46	18Q	YF	18Q YF 9546
1651	Morne Babou	locality	617874063	LEOGANE	PALMISTE A VIN	47	40	18Q	YF	18Q YF 4740
1319	Morne Barère	locality	617403218	KENSCOFF	NOUVELLE TOURAINE	80	31	18Q	YF	18Q YF 8031
1624	Morne Bas	locality	617870782	BAINET	TROU MAHOT	42	20	18Q	YF	18Q YF 4220
1685	Morne Belair	hamlet	617878750	PETIT-GOAVE	DES PLATONS	17	25	18Q	YF	18Q YF 1725
1314	Morne Berly	locality	617401559	CARREFOUR	BERLY	75	36	18Q	YF	18Q YF 7536
1610	Morne Blanchard	locality	617867673	JACMEL	HAUT COQ CHANTE	54	26	18Q	YF	18Q YF 5426
1427	Morne Blanche	hamlet	617759406	JEREMIE	FOND ROUGE DE TORBERC	83	64	18Q	WF	18Q WF 8364
1612	Morne Bouque Palmiste	locality	617867675	JACMEL	LAVANEAU	48	22	18Q	YF	18Q YF 4822
192	Morne Boyer	village	614479958	CARREFOUR	RIVIERE FROIDE	69	50	18Q	YF	18Q YF 6950
1622	Morne Ca Corps	locality	617870774	LA VALLEE	LA VALLEE	45	20	18Q	YF	18Q YF 4520
245	Morne Cadet	locality	614602013	PETION-VILLE	AUX CADETS	93	45	18Q	YF	18Q YF 9345
38	Morne Calbasse	village	613218831	PETION-VILLE	BELLEVUE LA MONTAGNE	88	43	18Q	YF	18Q YF 8843
1032	Morne Calvaire	suburb	616780007	PETION-VILLE	ETANG DU JONC	86	48	18Q	YF	18Q YF 8648
531	Morne Chacha	village	615836939	CROIX-DES-BOUQUES	BELLE FONTAINE	99	47	18Q	YF	18Q YF 9947
1620	Morne Chenet	hamlet	617870744	BAINET	TROU MAHOT	41	18	18Q	YF	18Q YF 4118
1324	Morne Cochon	locality	617410220	CARREFOUR	MALANGA	73	39	18Q	YF	18Q YF 7339
1654	Morne Crabe	locality	617874368	LEOGANE	PALMISTE A VIN	48	35	18Q	YF	18Q YF 4835
1645	Morne Crabe	locality	617873959	GRAND-GOAVE	GERARD	43	38	18Q	YF	18Q YF 4338
1318	Morne D'Enfer	locality	617403006	MARIGOT	GRANDE RIVIERE FESLE	79	30	18Q	YF	18Q YF 7930
1317	Morne Duline	locality	617403005	JACMEL	LA GOSSELINE	74	31	18Q	YF	18Q YF 7431
251	Morne Duval	locality	614602645	PETION-VILLE	BELLEVUE LA MONTAGNE	93	47	18Q	YF	18Q YF 9347
1327	Morne Grand Joupas	locality	617412960	KENSCOFF	SOUCAILLES	86	36	18Q	YF	18Q YF 8636
1334	Morne Guillème	locality	617414290	CROIX-DES-BOUQUES	BELLE FONTAINE	1	33	18Q	ZF	18Q ZF 0133
705	Morne Hercule	suburb	616540073	PETION-VILLE	BELLEVUE CHARD	86	50	18Q	YF	18Q YF 8650
247	Morne Jacquot	locality	614602015	PETION-VILLE	AUX CADETS	95	46	18Q	YF	18Q YF 9546
1301	Morne Jean-Jean	locality	617388836	GRESSIER	PETIT BOUCAN	59	45	18Q	YF	18Q YF 5945
1611	Morne Lefevre	locality	617867674	JACMEL	LAVANEAU	50	23	18Q	YF	18Q YF 5023
255	Morne L'Hopital	locality	614612829	PORT-AU-PRINCE	MORNE L'HOPITAL	81	48	18Q	YF	18Q YF 8148
1312	Morne Malanga	locality	617401556	CARREFOUR	MALANGA	73	36	18Q	YF	18Q YF 7336
682	Morne Marchand	village	616390920	ARCAHAIE	DES DELICES	73	89	18Q	YF	18Q YF 7389
1305	Morne Marion	locality	617395343	LEOGANE	PARQUES	63	42	18Q	YF	18Q YF 6342
1652	Morne Michel	hamlet	617874366	LEOGANE	PALMISTE A VIN	46	35	18Q	YF	18Q YF 4635
1657	Morne Michel	locality	617874371	LEOGANE	PALMISTE A VIN	45	35	18Q	YF	18Q YF 4535
1635	Morne Nan Boule	hamlet	617870812	LA VALLEE	LA VALLEE	48	23	18Q	YF	18Q YF 4823
1371	Morne Nan Poisson	hamlet	617528734	LES IROIS	BELAIR	61	34	18Q	WF	18Q WF 6134
1372	Morne Nan Poisson	hamlet	617528735	LES IROIS	BELAIR	61	34	18Q	WF	18Q WF 6134
1331	Morne Nègre	locality	617413998	KENSCOFF	BELLE FONTAINE	94	35	18Q	YF	18Q YF 9435
248	Morne Prospère	locality	614602016	CROIX-DES-BOUQUES	BELLE FONTAINE	97	47	18Q	YF	18Q YF 9747
336	Morne Redoute	village	614727943	KENSCOFF	BONGARS	79	42	18Q	YF	18Q YF 7942
454	Morne Saint Laurent	village	615527095	JACMEL	LA GOSSELINE	73	34	18Q	YF	18Q YF 7334
393	Morne Saint-Laurent	village	615138351	PORT-AU-PRINCE	MARTISSANT	79	47	18Q	YF	18Q YF 7947
1302	Morne Ti Boucan	locality	617390708	GRESSIER	PETIT BOUCAN	58	46	18Q	YF	18Q YF 5846
1328	Morne Zaboca	locality	617413906	KENSCOFF	BELLE FONTAINE	90	34	18Q	YF	18Q YF 9034
1003	Moron	town	616740060	MORON	ANOTTE	78	52	18Q	WF	18Q WF 7852
74	Morpeau	village	613385697	CROIX-DES-BOUQUES	VARREUX	86	62	18Q	YF	18Q YF 8662
344	Mosemberg	village	614791073	GRAND-GOAVE	TETE A BOUF	38	33	18Q	YF	18Q YF 3833
1138	Mouillage Fouquet	hamlet	616813642	AQUIN	FRANGIPANE	0	12	18Q	YF	18Q YF 0012
43	Moulin Sur Mer	hotel	382507109	SAINT-MARC	DELUGE	39	99	18Q	YF	18Q YF 3999
69	Mouline	village	613328648	DELMAS	VARREUX	84	58	18Q	YF	18Q YF 8458
